Date,Time,Pressure Main,Pressure Autocalve 1,Pressure Autocalve 2,Pressure Autocalve 3,Pressure Autocalve 4,Pressure Autocalve 5,Pressure Autocalve 6,Pressure Autocalve 7,Pressure Autocalve 8,Temperature Autocalve 1,Temperature Autocalve 2,Temperature Autocalve 3,Temperature Autocalve 4,Temperature Autocalve 5,Temperature Autocalve 6,Temperature Autocalve 7,Temperature Autocalve 8,Vacuum pump,% Valve Live,% Valve Overflow,% Valve Waste,Main Meter steam flow,Main Meter steam ton
1/8/2026,01:14:14,13.36353,0.2662038,7.34375,11.92188,12.41146,12.28762,12.59375,1.730324,6.076384E-02,103.2444,170.0846,189.03,187.3806,186.8707,187.6628,133.7999,131.2283,0,-3.244474,16.1386,99.75405,0,8674.142
1/8/2026,01:15:14,13.42593,0.2366898,7.064815,11.96875,12.4838,12.31713,12.55093,1.833912,6.307876E-02,102.4306,168.9887,189.03,187.6085,187.0226,187.9015,134.5161,130.7834,0,-3.244474,16.61241,99.75405,0,8674.142
1/8/2026,01:16:14,13.34907,0.2123842,6.82581,11.98206,12.52026,12.33218,12.50694,1.923611,0.0613426,101.6927,168.0556,189.0517,187.6411,187.0877,187.6736,135.6228,130.2951,0,-3.248208,16.95602,99.75405,0,8674.142
1/8/2026,01:17:14,13.36625,0.1903936,6.532986,11.96181,12.51968,12.33276,12.45891,2.050926,6.076384E-02,100.9223,167.0247,188.9648,187.7387,187.0226,187.5325,136.7079,129.8286,0,-3.244474,19.39742,99.75405,0,8674.142
1/8/2026,01:18:14,13.37529,0.1689814,6.269097,11.9919,12.56539,12.35127,12.42882,2.150463,0.0625,100.3364,166.1024,189.0191,187.7387,187.1202,187.4349,138.0534,129.2209,0,-3.244474,19.12616,99.75043,0,8674.142
1/8/2026,01:19:14,13.3771,0.1550926,5.957176,11.9728,12.56134,12.35417,12.39178,2.30787,9.722221E-02,99.60938,165.5599,188.9974,187.7604,187.0443,187.2613,139.4965,127.691,0,-3.248208,24.11024,99.75043,0,8674.142
1/8/2026,01:20:14,13.35901,0.1377314,5.667245,11.99363,12.60012,12.36401,12.36516,2.440972,0.1041666,99.1862,164.898,189.0517,187.9015,187.1962,187.1528,140.7335,124.6202,1,-3.248208,23.71239,99.75043,0,8674.142
1/8/2026,01:21:14,13.4205,0.1423612,5.461227,11.8588,12.46759,12.36111,12.36111,2.587963,3.182876E-02,98.37239,164.0191,188.8672,187.5217,186.339,185.5577,140.8203,122.2331,1,-3.248208,11.22685,99.74682,0,8674.142
1/8/2026,01:22:14,12.20703,0.129051,5.479167,11.93634,12.55787,12.40394,12.36921,2.616898,-4.398149E-02,97.7322,163.2596,188.3681,187.2396,186.2088,185.6771,141.0482,119.5638,1,20.51225,-0.6691262,99.74682,4.349177,8674.159
1/8/2026,01:23:14,12.87164,0.120949,5.482639,11.92824,12.55787,12.41146,12.35185,2.748842,-0.1059028,97.40668,163.8129,188.2487,187.283,186.2847,185.536,142.2309,116.7535,1,20.51598,-0.6655093,99.7432,4.847488,8674.237
1/8/2026,01:24:14,12.96115,0.1122686,5.485532,11.92245,12.55787,12.41724,12.3397,2.881944,-0.166088,96.875,164.605,188.3572,187.3047,186.3064,185.4818,143.0881,114.5182,1,20.51598,-0.6691262,99.7432,4.79744,8674.317
